ms,xacc,yacc,zacc
3033,0.05,-0.01,1.01
3041,0.05,0,1.01
3049,0.05,0,1.01
3061,0.05,0,1
3069,0.05,0,1
3077,0.05,0,1
3086,0.05,0,1
3094,0.05,-0.01,1
3102,0.05,-0.01,1
3110,0.05,-0.01,1
3126,0.05,0,1
3135,0.05,-0.01,1.01
3143,0.05,0,1
3151,0.05,0,1.01
3159,0.05,-0.01,1
3168,0.05,0,1
3180,0.04,0,1.01
3188,0.04,0,1.01
3197,0.05,0,1.01
3205,0.05,0,1.01
3213,0.05,0,1
3221,0.05,0.01,1
3232,0.04,0,1
3241,0.05,0,1
3249,0.05,0,1
3257,0.05,0,1.01
3265,0.04,0,1.01
3273,0.04,0,1.01
3282,0.05,0,1.01
3293,0.04,0,1
3301,0.04,0,1
3309,0.05,0,1
3318,0.05,0,1
3326,0.05,0,1.01
3334,0.06,0,1.01
3345,0.06,0,1
3353,0.05,0,1
3362,0.05,0,1
3370,0.04,0,1
3378,0.04,0,1
3386,0.05,0,1
3395,0.04,-0.01,1.01
3406,0.04,0,1.01
3414,0.05,0,1.01
3422,0.05,0,1.01
3430,0.05,0,1
3439,0.05,0,1
3447,0.05,0,1.01
3458,0.05,0,1.01
3467,0.05,0,1.01
3475,0.04,0,1.01
3483,0.05,0,1.01
3491,0.05,0,1.01
3499,0.05,0,1.01
3507,0.05,0,1.01
3519,0.05,0,1.01
3527,0.05,0,1
3536,0.05,0,1
3544,0.05,0,1
3552,0.05,0,1
3560,0.05,0,1
3572,0.04,0,1
3581,0.04,0,1
3589,0.05,0,1
3598,0.05,0,1
3607,0.05,0,1.01
3615,0.04,0,1.01
3627,0.05,0,1
3635,0.05,0,1.01
3643,0.05,0,1.01
3651,0.05,0,1.01
3659,0.06,0,1.01
3668,0.05,0,1
3675,0.05,0,1.01
3687,0.05,0,1.01
3695,0.05,0,1.01
3703,0.05,0,1.01
3711,0.05,0.01,1.01
3720,0.05,0.01,1
3728,0.05,0,1
3739,0.06,0,1
3747,0.06,0,1.01
3756,0.06,0,1.01
3764,0.05,0.01,1
3772,0.06,0.01,1
3780,0.05,0.01,1
3789,0.05,0.01,1
3800,0.05,0.01,1
3808,0.05,0.01,1
3816,0.05,0.01,1.01
3825,0.05,0.01,1.01
3833,0.05,0.01,1.01
3841,0.05,0,1.01
3849,0.05,0,1.01
3861,0.04,0.01,1.01
3869,0.04,0,1
3877,0.04,0,1.01
3885,0.04,0.01,1
3894,0.04,0,1
3902,0.04,0,1
3913,0.04,0,1
3921,0.04,-0.01,1
3930,0.04,0,1
3938,0.04,0,1
3946,0.04,0,1.01
3954,0.04,0,1.01
3963,0.04,0,1.01
3974,0.03,0,1.01
3982,0.04,0,1.01
3990,0.04,0,1
3999,0.04,0,1
4007,0.04,0,1
4015,0.04,0.01,1.01
4027,0.04,0,1.01
4035,0.04,0,1.01
4043,0.04,0,1
4051,0.04,0.01,1
4060,0.04,0.01,1
4068,0.04,0,1
4076,0.05,0,1
4087,0.05,0.01,1
4096,0.05,0.01,1.01
4104,0.05,0.01,1
4112,0.05,0.01,1
4120,0.05,0,1
4129,0.05,0,1.01
4140,0.05,0,1.01
4148,0.05,0,1.01
4157,0.06,0,1
4165,0.06,0,1
4173,0.06,0,1
4181,0.06,0.01,1.01
4190,0.05,0,1.01
4201,0.05,0.01,1
4209,0.05,0.01,1
4218,0.06,0.01,1.01
4226,0.06,0.01,1.01
4234,0.06,0,1
4243,0.05,0.01,1
4254,0.05,0.01,1
4263,0.05,0.01,1
4272,0.05,0.01,1
4280,0.05,0.01,1
4289,0.05,0.02,1
4298,0.06,0.02,1
4306,0.06,0.02,1
4317,0.06,0.01,1
4326,0.06,0.02,1
4334,0.06,0.02,1
4342,0.05,0.02,1
4350,0.05,0.02,1
4359,0.06,0.02,1
4370,0.06,0.02,1
4378,0.06,0.02,1.01
4386,0.06,0.03,1.01
4395,0.06,0.02,1.01
4403,0.06,0.02,1.01
4411,0.05,0.01,1.01
4420,0.06,0.02,1.01
4431,0.06,0.02,1.02
4439,0.05,0.02,1.01
4447,0.05,0.01,1.01
4456,0.05,0.01,1.01
4464,0.05,0.01,1.01
4472,0.05,0.01,1.01
4480,0.04,0.01,1.01
4492,0.04,0.01,1.01
4500,0.04,0.01,1.01
4508,0.05,0.01,1
4517,0.04,0.01,1
4525,0.04,0.01,1
4533,0.05,0.01,1
4544,0.05,0.01,1
4553,0.05,0.01,1
4561,0.05,0.01,1
4569,0.06,0.01,1.01
4577,0.06,0.02,1.01
4586,0.06,0.02,1.01
4594,0.06,0.02,1.01
4605,0.05,0.01,1.01
4614,0.05,0.01,1.01
4622,0.04,0.01,1.01
4630,0.04,0,1.01
4638,0.04,0.01,1.01
4647,0.04,0,1.01
4655,0.04,0.01,1.01
4666,0.04,0.01,1.01
4674,0.05,0.01,1.01
4683,0.05,0.01,1
4691,0.05,0.01,1
4699,0.05,0.01,1
4707,0.05,0.01,1
4719,0.05,0.01,1.01
4727,0.04,0.01,1.01
4735,0.05,0.01,1
4744,0.05,0.01,1
4752,0.04,0.01,1
4760,0.05,0.01,1
4768,0.05,0.01,1
4788,0.06,0.01,1.01
4796,0.06,0.01,1.01
4804,0.06,0.01,1
4812,0.05,0.02,1
