"row_number","athlete_name","session_type","session_name","session_num","time","C_res_acc","C_peak_mag","C_f_time","C_Jump","C_jh","C_PL","C_acc_zone","C_acc_zone_time","C_ma_Peak","C_raw_peak_mag","C_active_time","L_res_acc","L_peak_mag","L_f_time","L_Jump","L_jh","L_PL","L_acc_zone","L_acc_zone_time","L_ma_Peak","L_raw_peak_mag","L_active_time","R_res_acc","R_peak_mag","R_f_time","R_Jump","R_jh","R_PL","R_acc_zone","R_acc_zone_time","R_ma_Peak","R_raw_peak_mag","R_active_time","C_x_raw","C_y_raw","C_z_raw","C_up_id"
0.01,"Athlete 1",NA,NA,NA,2021-04-08 00:48:59,0.985779361863038,0,NA,0,NA,9.02792906440118e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.33,0.703333333333502,0.61,0.607401193911535
0.02,"Athlete 1","Training","",1,2021-04-08 00:48:59,0.992922997474919,0,NA,0,NA,9.83995539080189e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.334444444444332,0.71,0.61,0.607598995942761
0.03,"Athlete 1","Training","",1,2021-04-08 00:48:59,0.999606048033007,0,NA,0,NA,9.13682447241198e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.34,0.715555555555668,0.604444444444332,0.605993254263866
0.04,"Athlete 1","Training","",1,2021-04-08 00:48:59,1.00398619082372,0,NA,0,NA,7.58308414856218e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.34,0.726,0.6,0.602252728754535
0.05,"Athlete 1","Training","",1,2021-04-08 00:48:59,1.00478481183024,0,NA,0,NA,6.55316914936827e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.34,0.736666666667004,0.6,0.596679292477995
0.06,"Athlete 1","Training","",1,2021-04-08 00:48:59,1.00190651285904,0,NA,0,NA,6.33063929398867e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.34,0.74,0.593000000000091,0.590287083247633
0.07,"Athlete 1","Training","",1,2021-04-08 00:48:59,0.996702193702574,0,NA,0,NA,5.36494395732471e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.345833333333523,0.734166666666477,0.584166666666477,0.584614110580923
0.08,"Athlete 1","Training","",1,2021-04-08 00:48:59,0.991608076401571,0,NA,0,NA,3.08162408195667e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.344444444444332,0.724444444444332,0.58,0.581257089658074
0.09,"Athlete 1","Training","",1,2021-04-08 00:48:59,0.989161160173321,0,NA,0,NA,3.53564146310218e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.34,0.72,0.58,0.581248789270739
0.1,"Athlete 1","Training","",1,2021-04-08 00:48:59,0.990788924310285,0,NA,0,NA,6.81473875807565e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.34,0.72,0.58,0.584534869262881
