"row_number","athlete_name","session_type","session_name","session_num","time","C_res_acc","C_peak_mag","C_f_time","C_Jump","C_jh","C_PL","C_acc_zone","C_acc_zone_time","C_ma_Peak","C_raw_peak_mag","C_active_time","L_res_acc","L_peak_mag","L_f_time","L_Jump","L_jh","L_PL","L_acc_zone","L_acc_zone_time","L_ma_Peak","L_raw_peak_mag","L_active_time","R_res_acc","R_peak_mag","R_f_time","R_Jump","R_jh","R_PL","R_acc_zone","R_acc_zone_time","R_ma_Peak","R_raw_peak_mag","R_active_time","C_x_raw","C_y_raw","C_z_raw","C_up_id"
0.01,"Athlete 1",NA,NA,NA,2021-04-23 00:02:00,1.00624552679972,0,NA,0,NA,1.21628207612352e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0487499999999933,1,1.00405618143127
0.02,"Athlete 1","Training","",1,2021-04-23 00:02:00,1.00532678202157,0,NA,0,NA,1.24598342259818e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472727272727261,0.0427272727272739,1,1.00309917833769
0.03,"Athlete 1","Training","",1,2021-04-23 00:02:00,1.00518306746145,0,NA,0,NA,1.50594691173942e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425000000000089,0.05,1,1.00288808039334
0.04,"Athlete 1","Training","",1,2021-04-23 00:02:00,1.00580292702077,0,NA,0,NA,1.52109334778864e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,1.00444444444443,1.00342341777845
0.05,"Athlete 1","Training","",1,2021-04-23 00:02:00,1.00683179672038,0,NA,0,NA,1.25113637322057e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,1.01,1.00438126438208
0.06,"Athlete 1","Training","",1,2021-04-23 00:02:00,1.00786971665844,0,NA,0,NA,1.35650482906931e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,1.01,1.00539519436156
0.07,"Athlete 1","Training","",1,2021-04-23 00:02:00,1.00869674054439,0,NA,0,NA,1.71588040642926e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,1,1.00626011646984
0.08,"Athlete 1","Training","",1,2021-04-23 00:02:00,1.00927102782601,0,NA,0,NA,1.47753743010798e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,1.00181818181818,1.00691738865785
0.09,"Athlete 1","Training","",1,2021-04-23 00:02:00,1.00958018235207,0,NA,0,NA,8.57590329827906e-06,1.5,1.5,1,1.00958018235207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487499999999933,0.05,1.01,1.00731325031984
0.1,"Athlete 1","Training","",1,2021-04-23 00:02:00,1.00954624040145,0,NA,0,NA,2.16956649483799e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.05,1.01,1.00732538186313
